time,signal,
0.992951284,-0.300744239,160
0.994060727,-0.336600935,160
0.99517017,-0.323637648,160
0.996279613,-0.284861513,160
0.997389055,-0.261943679,160
0.998498498,-0.328625303,160
0.999607941,-0.395306926,160
1.000717384,-0.382531501,160
1.001826827,-0.326331824,160
1.002936269,-0.27997331,160
1.004045712,-0.29266201,160
1.005155155,-0.305350709,160
1.006264598,-0.313618225,160
1.00737404,-0.319389066,160
1.008483483,-0.32445989,160
1.009592926,-0.325058379,160
1.010702369,-0.325656869,160
1.011811812,-0.330826097,160
1.012921254,-0.338661592,160
1.014030697,-0.345675539,160
1.01514014,-0.347083604,160
1.016249583,-0.348491669,160
1.017359025,-0.403148826,160
1.018468468,-0.489883828,160
1.019577911,-0.554861747,160
1.020687354,-0.460741187,160
1.021796796,-0.366620626,160
1.022906239,-0.392330484,160
1.024015682,-0.492569042,160
1.025125125,-0.572080033,160
1.026234568,-0.488533716,160
1.02734401,-0.404987399,160
1.028453453,-0.366099312,160
1.029562896,-0.355880763,160
1.030672339,-0.352521124,160
1.031781781,-0.407462625,160
1.032891224,-0.462404127,160
1.034000667,-0.410270936,160
1.03511011,-0.287200767,160
1.036219553,-0.181849348,160
1.037328995,-0.240055962,160
1.038438438,-0.298262577,160
